index,email,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,school_name,gender,study_group,star_sign,age,area,MBTI_result
1,,4,4,5,5,4,5,5,2,4,5,5,2,5,2,5,4,國立陽明交通大學,男,理工,牡羊座,19,北部,INFJ
2,,5,4,4,2,2,4,3,4,5,4,4,3,3,4,2,2,國立清華大學,男,理工,水瓶座,21,北部,ENFP
3,,3,2,2,1,4,4,5,5,2,3,3,1,4,1,4,1,國立陽明交通大學,男,理工,水瓶座,18,南部,INTP
4,,3,2,3,3,3,4,4,3,3,3,2,3,3,2,3,3,國立陽明交通大學,女,理工,巨蟹座,20,中部,INTP
5,,2,4,3,2,4,3,4,3,2,2,4,2,5,1,4,2,國立陽明交通大學,女,文法商,雙魚座,19,北部,INFP
6,,3,4,4,4,4,4,4,2,2,3,3,4,4,3,4,3,國立陽明交通大學,男,理工,摩羯座,25,南部,INFJ
7,,4,5,3,2,2,4,5,5,5,5,3,1,3,4,5,2,國立清華大學,男,理工,獅子座,18,北部,ENFP
8,,2,3,3,3,2,3,4,3,3,2,1,5,3,2,3,2,國立清華大學,男,文法商,巨蟹座,25,北部,INTJ
9,,4,4,5,4,4,5,5,3,3,4,4,3,5,3,2,4,安遠學長,男,理工,獅子座,27,北部,INFJ
10,,2,5,1,4,4,4,4,1,1,5,3,2,4,3,5,2,國立陽明交通大學,女,理工,摩羯座,21,北部,INTP
11,,5,5,3,4,3,4,4,5,5,5,5,3,4,3,5,2,國立清華大學,男,理工,雙子座,22,東部,ENFJ
12,,3,3,4,4,4,4,3,3,3,3,3,5,3,2,4,3,私立逢甲大學,男,文法商,雙魚座,19,中部,INFJ
13,,2,3,3,4,4,4,3,4,2,3,2,3,5,2,5,4,國立陽明交通大學,男,理工,牡羊座,24,中部,INFJ
14,,4,4,2,2,1,5,4,3,5,4,2,1,1,1,4,4,國立清華大學,女,理工,雙魚座,23,北部,ENTP
15,,5,2,3,4,4,2,5,2,5,3,2,5,4,4,5,4,國立陽明交通大學,男,文法商,雙魚座,21,中部,ESTJ
16,,3,4,4,5,4,4,3,3,4,4,4,4,5,4,5,1,國立陽明交通大學,男,理工,牡羊座,19,南部,INFJ
17,,4,2,2,4,3,1,4,5,3,3,5,5,5,3,5,2,私立靜宜大學,男,理工,牡羊座,19,中部,ISFJ
18,,2,5,2,4,5,4,3,2,3,4,4,5,5,3,4,4,國立清華大學,女,生醫農,摩羯座,19,離島地區,INFJ
19,,4,2,4,3,3,4,4,2,4,4,4,2,3,2,2,3,國立清華大學,女,生醫農,天蠍座,19,北部,ENFP
20,,2,3,4,5,5,4,5,4,1,4,5,5,4,2,4,4,國立陽明交通大學,男,理工,獅子座,21,北部,INFJ
21,,1,3,2,3,4,3,3,3,2,3,5,4,5,2,3,4,國立陽明交通大學,男,文法商,獅子座,22,南部,INFJ
22,,5,5,5,5,2,5,5,5,3,5,5,5,3,1,5,1,國立清華大學,男,理工,射手座,24,北部,ENFJ
23,,1,5,3,4,5,5,4,5,2,5,5,2,5,2,4,1,國立清華大學,女,生醫農,金牛座,19,南部,INFP
24,,2,3,2,4,4,4,4,3,2,3,4,2,4,3,4,4,國立清華大學,女,理工,摩羯座,19,北部,INTJ
25,,4,3,2,2,4,4,4,2,4,4,4,4,3,4,3,3,國立陽明交通大學,女,文法商,牡羊座,22,北部,ENTP
26,,4,4,3,5,4,5,4,4,4,4,3,4,3,3,4,4,國立中央大學,男,理工,處女座,20,中部,ENFJ
27,,5,5,5,3,2,5,4,3,3,5,4,2,5,3,3,3,私立中原大學,女,文法商,獅子座,19,中部,ENFP
28,,2,5,3,2,4,4,3,3,2,3,5,2,4,3,4,2,國立陽明交通大學,女,理工,天秤座,23,北部,INFP
29,,4,4,4,3,4,5,3,3,4,5,4,4,4,4,4,2,國立陽明交通大學,男,理工,射手座,22,北部,ENFP
30,,2,3,2,4,4,5,4,2,4,4,2,3,4,3,4,4,國立清華大學,男,理工,雙子座,22,北部,INTJ
31,,4,1,2,1,2,5,1,3,3,4,1,4,3,1,1,5,私立東吳大學,女,文法商,雙魚座,19,北部,ENTJ
32,,5,4,3,5,4,4,5,4,4,5,3,3,3,2,5,4,國立陽明交通大學,男,理工,巨蟹座,19,北部,ENTJ
33,,4,3,4,5,5,5,5,5,3,3,4,4,3,2,3,2,國立高雄大學,男,文法商,天秤座,20,外國人,INFJ
34,,4,2,3,2,3,4,4,4,4,4,3,4,4,4,4,4,國立陽明交通大學,男,理工,獅子座,23,北部,ESFJ
35,,4,5,3,4,3,3,5,2,3,2,2,4,3,1,4,4,國立陽明交通大學,男,理工,水瓶座,19,中部,ENTJ
36,,3,3,4,4,4,4,5,4,3,4,5,4,4,3,3,4,國立清華大學,女,文法商,水瓶座,19,北部,INFJ
37,,5,3,3,3,3,3,3,4,5,5,4,4,3,2,3,3,無,女,無,處女座,20,中部,ENFJ
38,,2,4,1,5,4,2,5,3,2,3,4,4,4,1,5,2,國立清華大學,女,理工,天蠍座,21,北部,INTJ
39,,5,1,5,3,5,5,3,1,5,5,5,4,3,1,5,1,國立陽明交通大學,男,理工,水瓶座,19,北部,ENFP
40,,4,3,4,4,4,5,5,3,4,4,3,4,3,2,4,4,國立清華大學,女,理工,雙魚座,19,北部,ENFJ
41,,2,2,3,3,4,4,4,3,3,4,4,2,5,2,4,2,國立陽明交通大學,女,理工,金牛座,20,北部,INFP
42,,3,4,4,5,4,4,5,4,3,5,5,4,4,2,4,4,國立清華大學,男,理工,射手座,24,北部,INFJ
43,,4,2,5,5,1,5,5,1,2,2,5,1,3,2,5,2,國立陽明交通大學,男,理工,天蠍座,21,北部,ENFP
44,,5,4,4,4,3,5,5,4,5,5,5,2,2,1,5,3,國立陽明交通大學,男,理工,射手座,20,北部,ENFJ
45,,2,2,2,5,5,5,4,5,3,4,5,5,5,3,4,5,國立清華大學,女,教育,摩羯座,19,中部,INFJ
46,,4,3,4,4,3,4,5,3,5,4,2,5,2,1,5,5,國立陽明交通大學,女,文法商,雙魚座,19,北部,ENFJ
47,,4,2,5,5,2,4,4,5,3,5,5,5,2,1,3,4,國立東華大學,女,文法商,處女座,20,中部,ENFJ
48,,2,5,4,5,5,5,5,4,3,4,4,4,4,2,5,5,國立陽明交通大學,男,理工,巨蟹座,19,南部,INFJ
49,,3,4,5,4,2,2,5,3,4,4,5,5,2,3,5,4,國立清華大學,女,理工,牡羊座,22,北部,ENFJ
50,,4,5,5,3,5,5,3,2,3,4,5,2,5,4,5,2,國立陽明交通大學,女,理工,射手座,28,北部,INFP
51,,4,5,5,3,4,5,3,2,5,5,5,2,4,3,5,4,國立臺灣師範大學,男,文法商,巨蟹座,19,中部,ENFP
52,,3,4,4,3,3,4,5,4,3,5,3,4,3,2,5,3,國立陽明交通大學,女,理工,天秤座,20,北部,ENFJ
53,,4,4,3,4,3,5,4,4,5,5,5,4,3,1,3,2,國立陽明交通大學,女,理工,處女座,18,南部,ENFJ
54,,4,2,3,4,4,2,5,4,3,2,1,2,4,3,2,5,國立清華大學,女,理工,金牛座,21,南部,ISTJ
55,,2,2,1,3,4,5,2,5,2,4,3,3,4,1,5,5,國立陽明交通大學,男,理工,雙魚座,18,北部,INFJ
56,,3,2,2,2,3,4,2,2,4,4,4,4,4,4,5,3,國立陽明交通大學,女,文法商,射手座,19,中部,ESFP
57,,4,4,4,4,4,4,4,5,4,4,4,3,4,3,4,2,國立陽明交通大學,男,理工,射手座,21,南部,ENFJ
58,,4,4,2,1,1,3,4,4,3,4,4,3,4,1,5,3,國立中正大學,男,文法商,金牛座,20,北部,ENFP
59,,5,3,4,4,3,5,4,4,4,4,3,3,5,4,5,4,國立高雄師範大學,男,文法商,射手座,21,中部,ENFJ
60,,3,4,2,5,5,3,5,4,4,3,4,5,4,2,4,5,國立陽明交通大學,男,理工,射手座,20,中部,INTJ
61,,4,4,3,2,3,5,3,2,4,4,4,1,3,2,4,3,國立陽明交通大學,女,文法商,雙魚座,19,北部,ENFP
62,,1,2,2,4,5,4,5,4,2,2,4,2,5,4,5,5,國立清華大學,男,理工,金牛座,19,南部,ISTJ
63,,4,4,3,5,4,5,4,2,4,4,5,5,3,4,4,3,國立清華大學,男,生醫農,射手座,26,中部,ENFJ
64,,4,3,4,5,4,5,5,5,4,4,5,4,4,3,5,4,國立陽明交通大學,男,理工,天秤座,24,南部,ENFJ
65,,2,4,2,4,4,2,4,2,4,4,4,5,5,4,4,2,國立清華大學,女,理工,牡羊座,19,中部,ISTJ
66,,1,5,3,4,5,5,4,4,2,4,5,3,5,3,4,4,國立中正大學,女,理工,處女座,19,中部,INFJ
67,,5,5,5,4,2,4,2,4,5,5,4,4,4,2,4,4,國立陽明交通大學,女,文法商,射手座,28,北部,ENFJ
68,,4,5,5,2,3,5,4,4,4,5,3,2,5,2,5,5,私立淡江大學,女,文法商,巨蟹座,18,中部,ENFJ
69,,3,4,4,4,4,4,3,3,3,3,3,4,4,3,4,4,國立清華大學,女,理工,雙魚座,22,北部,INFJ
70,,4,4,3,3,3,4,5,3,3,4,4,4,3,3,5,4,國立清華大學,女,理工,處女座,20,北部,ENFJ
71,,2,4,2,4,5,3,4,4,2,2,4,5,5,2,5,2,國立陽明交通大學,女,理工,巨蟹座,22,北部,INFJ
72,,5,4,3,5,5,5,3,3,5,5,2,3,2,3,5,3,國立清華大學,男,文法商,水瓶座,23,南部,ENFJ
73,,4,4,3,1,4,2,5,3,2,2,5,5,5,1,3,1,國立陽明交通大學,男,理工,雙魚座,19,離島地區,INFP
74,,4,5,4,3,4,4,4,2,4,5,2,3,4,2,4,2,國立陽明交通大學,女,文法商,獅子座,19,北部,ENFP
